"C0290883|anastrozole|orch,phsu|orch",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0290883|anastrozole|orch,phsu|orch",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0290883|anastrozole|orch,phsu|orch",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0935916|fulvestrant|phsu,strd|phsu",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0728747|trastuzumab|aapp,gngm,imft,phsu|imft",ADMINISTERED_TO,"C0043210|Woman|popg,humn|humn"
C0442973|Ultrasonic guidance procedure|diap|diap,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0597357|receptor|aapp,gngm,rcpt|rcpt",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0600558|Neoadjuvant Therapy|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0012737|Dissection|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0543467|Operative Surgical Procedures|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C1510998|Axillary Lymph Node Dissection|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0001924|Albumins|aapp,gngm,bacs|bacs",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0087111|Therapeutic procedure|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0013216|Pharmacotherapy|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0237939|health care utilization|hlca|hlca,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0034618|Radiation therapy|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0071006|phytobacteriomycin|aapp,gngm,carb,phsu|carb",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0279025|Endocrine therapy|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
"C0120107|Goserelin|aapp,gngm,phsu|phsu",ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0087111|Therapeutic procedure|topp|topp,ADMINISTERED_TO,"C0009932|Control Groups|grup,humn|humn"
C0087111|Therapeutic procedure|topp|topp,ADMINISTERED_TO,"C0043210|Woman|popg,humn|humn"
C0543467|Operative Surgical Procedures|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0376547|Aromatherapy|topp|topp,ADMINISTERED_TO,"C0030705|Patients|podg,humn|humn"
C0085076|Mammaplasty|topp|topp,ADMINISTERED_TO,"C0043210|Woman|popg,humn|humn"
